256	500	14.1465
256	500	11.9055
16	16	0.636526
16	16	0.596823
32	16	0.565061
32	16	0.954917
64	16	0.92085
64	16	0.686219
128	16	0.759733
128	16	0.74001
256	16	1.00999
256	16	1.06967
512	16	1.58017
512	16	1.43084
1024	16	3.0105
1024	16	2.69698
2048	16	6.72797
2048	16	6.24718
4096	16	16.4293
4096	16	16.0502
8192	16	45.2828
8192	16	46.2728
16384	16	121.3
16384	16	123.864
32768	16	264.31
32768	16	257.836
65536	16	573.905
65536	16	552.883
16	32	0.931096
16	32	0.833759
32	32	0.889855
32	32	1.01998
64	32	1.07812
64	32	1.11091
128	32	1.26716
128	32	1.28432
256	32	1.73309
256	32	1.61706
512	32	2.60271
512	32	2.57582
1024	32	5.99846
1024	32	4.43161
2048	32	11.4646
2048	32	12.4526
4096	32	35.9354
4096	32	35.407
8192	32	100.418
8192	32	100.233
16384	32	246.073
16384	32	237.29
32768	32	517.686
32768	32	524.68
65536	32	1085.73
65536	32	1102.02
16	64	0.930327
16	64	1.01998
32	64	1.15138
32	64	1.45825
64	64	1.33401
64	64	1.27433
128	64	1.71747
128	64	2.03714
256	64	2.41419
256	64	2.58734
512	64	4.54738
512	64	3.88857
1024	64	10.4511
1024	64	6.7377
2048	64	19.9867
2048	64	19.999
4096	64	69.5924
4096	64	69.0794
8192	64	149.582
8192	64	181.97
16384	64	473.377
16384	64	447.612
32768	64	997.432
32768	64	1001.34
65536	64	2141.32
65536	64	2163.82
16	128	2.39805
16	128	1.03022
32	128	1.36322
32	128	1.41829
64	128	1.72054
64	128	1.6104
128	128	2.39037
128	128	2.14703
256	128	3.77869
256	128	3.62884
512	128	6.74897
512	128	6.38601
1024	128	12.0136
1024	128	10.9185
2048	128	29.896
2048	128	31.9398
4096	128	124.861
4096	128	129.72
8192	128	289.544
8192	128	377.861
16384	128	901.386
16384	128	881.762
32768	128	1939.41
32768	128	1973.72
16	16	0.729764
32	16	0.623719
64	16	0.80917
128	16	1.07556
256	16	1.48181
512	16	1.64165
1024	16	2.97003
2048	16	7.12602
4096	16	20.0907
8192	16	53.4887
16384	16	114.223
32768	16	271.38
65536	16	542.321
16	32	0.716701
32	32	0.800204
64	32	1.26025
128	32	1.58863
256	32	1.98232
512	32	3.04687
1024	32	4.35937
2048	32	9.41265
4096	32	35.3281
8192	32	101.24
16384	32	225.877
32768	32	502.159
65536	32	1103.44
16	64	0.912653
32	64	0.979508
64	64	1.15497
128	64	1.573
256	64	2.23975
512	64	4.41649
1024	64	6.32658
2048	64	15.7869
4096	64	69.5689
8192	64	146.199
16384	64	464.201
32768	64	1012.55
65536	64	2130.9
16	128	1.28125
32	128	1.52971
64	128	1.78202
128	128	2.7418
256	128	3.46055
512	128	6.30507
1024	128	10.5379
2048	128	40.187
4096	128	122.681
8192	128	351.327
16384	128	911.503
32768	128	2020.3
65536	128	4183.09
16	256	1.16752
32	256	1.71568
64	256	3.70235
128	256	4.74411
256	256	5.12884
512	256	11.2736
1024	256	19.3453
2048	256	45.8629
4096	256	228.755
8192	256	758.977
16384	256	1756.02
32768	256	3828.71
65536	256	8846.95
16	512	2.68596
32	512	2.84529
64	512	4.46619
128	512	6.80558
256	512	11.093
512	512	13.0704
1024	512	31.1321
2048	512	96.42
4096	512	474.486
8192	512	1551.54
16384	512	3657.44
32768	512	7952.75
65536	512	16377.8
16	1024	3.00973
32	1024	3.70645
64	1024	5.49923
128	1024	8.13652
256	1024	13.6598
512	1024	40.2971
1024	1024	47.6147
2048	1024	183.325
4096	1024	837.395
8192	1024	2836.43
16384	1024	6977.42
32768	1024	14985.5
65536	1024	33773.6
16	2048	7.78022
32	2048	12.6696
64	2048	15.8153
128	2048	17.4465
256	2048	26.6444
512	2048	45.7067
1024	2048	140.417
2048	2048	364.96
4096	2048	1786.26
8192	2048	5549.21
16384	2048	14267.8
32768	2048	29816.8
65536	2048	66389.1
16	4096	15.4572
32	4096	21.6811
64	4096	30.2392
128	4096	28.7198
256	4096	64.0594
512	4096	146.052
1024	4096	180.375
2048	4096	595.601
4096	4096	5560.76
8192	4096	13251.8
16384	4096	27146.8
32768	4096	61662.7
